% Model,case5_base_model.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 7 2023, 14:32"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
0,285.1938720309093,285.1554162233454,285.1600490461174
1,285.01176619413684,284.97328274252783,284.97881588775294
2,284.9460016188256,284.9077198120252,284.9134310131459
3,284.9319110648142,284.89388203931253,284.89934391328677
4,284.9272284095186,284.8892730176274,284.8945186542908
5,284.92729444891575,284.8892796495378,284.8945203703761
6,284.93694343382833,284.8988837210794,284.9041875663519
7,284.95646330515126,284.9184259955968,284.9237200388013
8,284.92563174813205,284.88767962271885,284.89291729243683
9,284.91214877170273,284.87429154121463,284.87950559763533
10,284.90519132736813,284.8674348488605,284.87262921712295
11,284.8985050512737,284.8608557033486,284.86602059704114
12,284.8952896497886,284.8577470140364,284.8628817854241
13,284.8925514744566,284.85511515458745,284.8602225177485
14,284.8896915591485,284.85236219468965,284.8574436397505
15,284.8829259952539,284.84570750601847,284.8507603206174
16,284.87668840719647,284.8395824012432,284.8446105922529
17,284.86901129336377,284.8320201905354,284.83702210532687
18,284.86074874070994,284.82387309819836,284.8288474786316
19,284.8555362270582,284.8187720810959,284.8237213674407
20,284.8489300783356,284.8122761044366,284.817198959111
21,284.84091816497624,284.8043739989161,284.80927025789777
22,284.83887042158915,284.8024288991559,284.8073041634762
23,284.85408215583976,284.81772206231017,284.82258768721925
24,284.88278335507914,284.84648088814964,284.8513427617549
25,284.9099307771607,284.87367545073363,284.8785315992419
26,284.94127761632234,284.90505903331706,284.90991826561947
27,284.9800274788933,284.94383375087386,284.9487056373244
28,285.006709171295,284.9705475923384,284.975423907324
29,285.0193956989156,284.9832824696716,284.98815796356524
30,285.01923768360194,284.9831927843058,284.98806329444284
31,285.0027083294579,284.9667575435343,284.97161226585894
32,284.9866233877559,284.950777490821,284.9556159183094
33,284.9782378508201,284.9424933757499,284.94731571450365
34,284.97669144606994,284.9410378335044,284.94584182778254
