% Model,case3_base_model_com_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 22 2023, 17:13"
% Table,Probe Table - Tout - 
% Time (h),"T_out - 15 m - left (K), Probe_T_out - HE - 15m","T_out - 15 m - left (K), Probe_T_out - HE - 30m","T_out - 15 m - left (K), Probe_T_out - HE - 45m"
0,284.16159841552377,284.11861607984576,284.1173367157545
1,283.2921225175373,283.2577419433853,283.26016459305976
2,283.01433516012537,282.985902991376,282.9905280023458
3,282.8809158726802,282.855148916027,282.86029160825495
4,282.8499257950644,282.82472737818,282.8297134797883
5,282.8688447619783,282.84359792553374,282.84837031140717
6,282.91812857698915,282.8926496393929,282.897263776233
7,282.9899808353548,282.9641940074784,282.9686822435353
8,282.8285689955624,282.80268430207343,282.8069975835358
9,282.74397456677633,282.7185524772696,282.72293135991094
10,282.6852658947163,282.66036618280174,282.66480416428436
11,282.6274171892712,282.603025385903,282.60748030281945
12,282.5865612451591,282.56267603497867,282.5671174041082
13,282.54644029213955,282.52309319099254,282.52752094986965
14,282.50552214696825,282.4827545861082,282.4871742446343
15,282.4468087988488,282.4246545145525,282.42906251893635
16,282.39024519370224,282.36880270591826,282.3732387824247
17,282.3271266034775,282.3064508132654,282.3109385617385
18,282.26160327628986,282.2416873816645,282.2462345828186
19,282.21035562620386,282.19115257574896,282.19577017134844
20,282.1533078432186,282.13473477932075,282.1394135807343
21,282.09035179193256,282.07234286830624,282.07708177154143
22,282.0550860690754,282.0375640945251,282.04237575765916
23,282.0994688629376,282.0822459641429,282.0871265043213
24,282.20701627832466,282.18978241069084,282.19466804726477
25,282.3091627766915,282.2916698820728,282.29647852771666
26,282.43139140815543,282.4135587832438,282.41828389493895
27,282.58807716258656,282.56985785855034,282.57450661633777
28,282.6904931756009,282.67189099797554,282.67642826882
29,282.72905979409927,282.7102712590647,282.7147237870115
30,282.7083685567465,282.6897078770238,282.6941442729145
31,282.6121850000656,282.59400065335166,282.59848243468485
32,282.5171982985117,282.4997920943021,282.50440151745545
33,282.458871436787,282.4423573020793,282.4471264888568
34,282.42971891309037,282.4140050867728,282.4188956910658
35,282.35176683238547,282.3367788749027,282.3417267925869
36,282.22140420373177,282.2073931414651,282.21248584679535
37,282.10065293243764,282.0877485152981,282.0930446254869
38,281.9539110610502,281.9421792432137,281.9476903473756
39,281.76509060561494,281.75461680885184,281.76035640730095
40,281.5690839872062,281.5599757236494,281.56598887499536
41,281.3754410809594,281.36772999582666,281.3740425536216
42,281.2006882172822,281.1942979543542,281.2009044811674
43,281.09008362371026,281.0848295247436,281.0917196281142
44,280.97090850573494,280.96653786126274,280.9736406864996
45,280.8246322819526,280.82099543551857,280.8282622035252
46,280.70178977259377,280.69886244876176,280.70634991217435
47,280.87485234756446,280.8722207606086,280.8799729043592
48,281.17621637865284,281.17298167598364,281.1807579088862
49,281.4956279384732,281.49110445409383,281.4986891580037
50,281.8097328464042,281.8036977753462,281.8110460921669
51,282.07130772407993,282.0638486633054,282.07098542816397
52,282.2683887224222,282.2597851581729,282.2667685929359
53,282.37262242084637,282.3633032805575,282.3702016831584
54,282.3666752651338,282.3571340106418,282.364021188319
55,282.2265949044599,282.21735608576034,282.224305913633
56,282.00092435739595,281.9925821209608,281.99971351843
57,281.7616826381952,281.75471062140514,281.76213931840715
58,281.58714848779744,281.58159528992036,281.58933783852325
59,281.3888358677875,281.3846182542776,281.39260578562573
60,281.1532521661262,281.1503910100994,281.1586040335649
61,280.94187087982306,280.9404385235731,280.9489245930284
62,280.7977473941575,280.79766657438444,280.80644229742836
63,280.6395499642739,280.64065003170305,280.6496509091385
64,280.3935631361916,280.3958606850111,280.40505668129856
65,280.1973081363667,280.2009322495993,280.2104196816015
66,280.0707617912496,280.07571467425794,280.08555198269227
67,280.059288180731,280.06504721366997,280.0751026096268
68,279.96931559244223,279.97557927293917,279.9857240742164
69,279.93292098516,279.9396499364045,279.949935685975
70,279.95537052335857,279.96242611838755,279.97286118272854
71,280.12574682258196,280.1327815101037,280.1433331037275
72,280.491013408318,280.4974020218738,280.5079645958147
73,280.87366680287266,280.87876597156156,280.88913498880805
74,281.19193045409605,281.19553119213674,281.20562698588105
75,281.4143600851851,281.41668547398416,281.42656579313615
76,281.51329579110364,281.5146451852528,281.524356022485
77,281.5844979527138,281.5855161786576,281.5952814326095
78,281.58296894313895,281.5840446447711,281.5939169430223
79,281.483696404359,281.4850555942549,281.49498585060155
80,281.36063541440933,281.36268876450015,281.3727846355258
81,281.2523381361209,281.25537052033735,281.26572490100153
82,281.1766976851222,281.18065365913407,281.19121986353605
83,281.1267165752622,281.13132764146883,281.14199902984365
84,281.08281498740126,281.08799674601585,281.0987621059277
85,281.01808658897903,281.0238331423045,281.03469538362685
86,280.955622475546,280.9619692205063,280.97295369872353
87,280.90984435961997,280.9167996598691,280.9279293798506
88,280.8361257666765,280.8436601891253,280.8549160909178
89,280.76825958712095,280.7763767324282,280.78777677195484
90,280.7017815736422,280.7104684486649,280.72202182087693
91,280.69035218282505,280.6994668272181,280.7111725043254
92,280.6697735614801,280.67912111114885,280.69092324647926
93,280.65827050827977,280.66771825903675,280.6795981020976
94,280.6631643896807,280.6726323224689,280.68459230447644
95,280.7141367814054,280.7234884052631,280.7355264531376
96,280.8103772537995,280.8193505819488,280.8314143102583
97,280.9456648291532,280.9539495100314,280.9659649879112
98,280.99270055788,281.0000493547802,281.01189009112835
99,281.0467187481345,281.05338965877826,281.0651842392585
100,281.080938432193,281.087189774538,281.0990187305229
101,281.06892687084496,281.0749184930763,281.0867238622059
102,281.03806028086575,281.04400475770046,281.055796765362
103,280.98827180599886,280.99437838601904,281.00617752827617
104,280.9143291695763,280.9207783624849,280.9325998500136
105,280.86083527490507,280.86776372331326,280.87964256329116
106,280.8249816564064,280.8323934688877,280.8443252388567
107,280.78211776124414,280.7900234630123,280.8019985189172
108,280.7384030608709,280.7468698614567,280.7589106639959
109,280.6983956976473,280.7074721376835,280.7195986743055
110,280.65919631638064,280.66892088056665,280.68115014968475
111,280.62740372012433,280.6378078205601,280.650165781958
112,280.6014576394742,280.6125403474553,280.6250510697555
113,280.56481340048435,280.5765385289753,280.58921218834934
114,280.53103810218806,280.54339654326685,280.5562717147671
115,280.5224326323543,280.53537294676704,280.5484881243104
116,280.4931209091193,280.5064324726196,280.5197219933088
117,280.4713780994327,280.48493724722414,280.4984186903992
118,280.43317225579744,280.4468867821871,280.4605367619053
119,280.4628555507052,280.47657781921134,280.4904031309222
120,280.52925619592196,280.5427295883313,280.55666423899544
121,280.6242375965342,280.6372237876723,280.65120635179534
122,280.71606003597145,280.7284167468986,280.74239651468935
123,280.8213395477009,280.833032578426,280.8469974039676
124,280.8425391970713,280.8535565396975,280.8674376146234
125,280.8134114689508,280.8240604736284,280.83792516556275
126,280.781065252752,280.79177151006326,280.80574780807376
127,280.6977468546583,280.70866123717,280.72268955371436
128,280.57113671238636,280.5824993454553,280.59657110044736
129,280.4435558862546,280.45570810022684,280.4699061071858
130,280.3803075634043,280.3933753963271,280.4077465005533
131,280.256658989125,280.2704035545791,280.2847899954819
132,280.1188367007564,280.13339556960335,280.1478676953244
133,279.97856557888196,279.99419012239093,280.0088678393091
134,279.83987449533635,279.8566438942871,279.8715375972163
135,279.7995623316375,279.8173916766297,279.8325341658213
136,279.7638695003426,279.78251998579947,279.7978520715062
137,279.79059974929635,279.80985365012043,279.8253710490507
138,279.8144192938008,279.83406267538726,279.8497323864645
139,279.8269392197254,279.8468575161474,279.86267435814693
140,279.83778453597733,279.85792490768046,279.873905906027
141,279.8107873205519,279.83112715465603,279.84726834221055
142,279.79175785747435,279.812316695667,279.8286455379683
143,279.879077918223,279.8996853881905,279.9162092176853
