% Model,case4_base_model_nu0.001_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 7 2023, 22:46"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
0,284.17030837976404,284.13379871046953,284.13372676083577
1.0000000000000002,283.33476060523014,283.298131693779,283.3024284923221
2,283.0332299723602,282.9975101183461,283.00279136593576
3,282.9689049552832,282.93433392756725,282.9385957284837
4,282.9470993163202,282.9128776892381,282.9162309650831
5,282.94455655866557,282.9100601191066,282.9134436657805
6,282.9815856158044,282.9468124736391,282.9505336770109
7,283.05295118472367,283.0180840991837,283.02187952131254
8,282.89348612423754,282.85879663374686,282.8623638789248
9,282.8113702193105,282.7769174918843,282.7804324883467
10,282.75696803190726,282.7228343520297,282.72632683263345
11,282.7022965692222,282.6685672182623,282.6719914952294
12,282.6620336045676,282.62881274571623,282.6321609830981
13,282.62308283796403,282.59044850303167,282.59373991675835
14,282.5830405226396,282.55106005875354,282.5543139861022
15,282.52476160183977,282.4934944614916,282.4967097017787
16,282.4687738057542,282.43825824951097,282.44146822088817
17,282.4062500332869,282.3764942815806,282.3797130470811
18,282.3412688950267,282.3122350610804,282.31546944294
19,282.29065244743464,282.26225389134254,282.265522565472
20,282.2340524785759,282.2061958112919,282.2094956607187
21,282.1714774726397,282.1440670588814,282.1473967195062
22,282.13683414790654,282.1097515765384,282.11313349082707
23,282.18203099915826,282.15511469003945,282.1585959149146
24,282.2896888848308,282.26279301532827,282.2663943491598
25,282.3906499788999,282.3637194735305,282.3674248660583
26,282.51136806824826,282.4843767900136,282.48821905778607
27,282.66652679693044,282.6394647643172,282.64348063088187
28,282.76665130618795,282.73961201529175,282.7437580978867
29,282.8029371070509,282.7760627576051,282.780311512842
30,282.7806779436333,282.75412910734843,282.7584619048696
31,282.68366349146584,282.6576237163036,282.6619957843298
32,282.5891461048663,282.56372394019064,282.56814145100594
33,282.53042600529164,282.5056590105256,282.510134644566
34,282.5035632969031,282.4794590777254,282.48399923282227
35,282.425801797923,282.4024205882027,282.406972022903
36,282.29898458618084,282.276434763845,282.28105228490125
37,282.17784522491445,282.15619414217946,282.16091805399105
38,282.03259577882307,282.0119093661026,282.0167392185264
39,281.8439495870408,281.82429084923535,281.82922069200475
40,281.6489469576834,281.6303213978151,281.635381388673
41,281.4571031353835,281.43946555380336,281.444675944579
42,281.2844119629577,281.2676621522887,281.2730397389709
43,281.1758673107126,281.15982245231237,281.16540914572647
44,281.06046272179896,281.04500467926175,281.0507769778988
45,280.9136242236083,280.8986419504038,280.90457218088625
46,280.790804249821,280.77608652860886,280.7822404505258
47,280.9663321665037,280.951437659566,280.95800043125007
48,281.2677988535895,281.2523729866231,281.25933560855356
49,281.584049137368,281.5679034051625,281.5752456990048
50,281.8936256896373,281.87669628296874,281.88446672608995
51,282.1503425487138,282.1327034458271,282.1409140111368
52,282.3429747345143,282.32478475424455,282.3334135346719
53,282.4487312881831,282.4302116292796,282.4392004722593
54,282.4436877274912,282.42510598981164,282.4343726781855
55,282.2975389962469,282.27920680772945,282.2886484483292
56,282.06953815613025,282.0517187172352,282.06127746221114
57,281.8334766796684,281.8163164989971,281.82598472795036
58,281.66022961991075,281.6437704970506,281.65355693213394
59,281.4662909080906,281.4505743839075,281.4603656487067
60,281.2332255760949,281.2183025672419,281.2281005764598
61,281.0240356308751,281.0099107408242,281.0197779213287
62,280.88226468653164,280.8688800864483,280.87887322681917
63,280.7254597823813,280.71280063777243,280.72289663891894
64,280.4800396113954,280.46816817749277,280.47832202908
65,280.28562758837955,280.27449282168186,280.28478480404084
66,280.1619690284206,280.1514747437435,280.1619739288454
67,280.1521537840811,280.14207297109874,280.15277514043123
68,280.0617366477807,280.05200688883485,280.06284806398827
69,280.0253979341445,280.0158923580339,280.026955274598
70,280.04815357407557,280.038731669503,280.05006185989504
71,280.21884815399386,280.20927932577126,280.22095044151774
72,280.5834936680224,280.5734690342811,280.5855718119277
73,280.96248551529885,280.9518557848718,280.9643581118595
74,281.27516767363505,281.263936995004,281.2768179678947
75,281.4920062556752,281.48028882127295,281.49353909466447
76,281.585422873976,281.57338474765737,281.5869409024163
77,281.65406733398953,281.64186103525395,281.65576596341907
78,281.6512689238487,281.6390885804465,281.65321733499263
79,281.5505785583254,281.5386225472995,281.5528046362582
80,281.4278076639732,281.41618547772083,281.4304368905239
81,281.3215426065811,281.31031060615226,281.3246462007054
82,281.24797908003893,281.2371533367536,281.2515091040758
83,281.1988421677882,281.1883835142462,281.2027325337147
84,281.1554047001327,281.14529189075773,281.159665535663
85,281.0908629483399,281.08111725897214,281.0955241188894
86,281.0287446170181,281.01937701958326,281.0338374930522
87,280.9835857673926,280.9745853182456,280.9891177927402
88,280.9101183961836,280.90148880769476,280.9160686899458
89,280.8427098890857,280.83441420909065,280.84905354978656
90,280.7768279956865,280.76882862200097,280.78353240145805
91,280.7662393257726,280.75839901147435,280.77319243337786
92,280.74582739271017,280.7380527319005,280.75290954045505
93,280.7342733051649,280.72646439287877,280.7413887886541
94,280.73872312092715,280.73079488372747,280.7458031829223
95,280.7900853526325,280.78191508358117,280.7970361548281
96,280.88640844663206,280.87784737180596,280.89308075662876
97,281.023987748981,281.0148420344937,281.0301961521669
98,281.06128250604473,281.05158153907286,281.0669984451127
99,281.11857596849666,281.1083338158011,281.12386404210247
100,281.15221730774425,281.1415159099635,281.15713734967613
101,281.13895659285777,281.1279379833414,281.14359948385925
102,281.1077203687272,281.0965262368056,281.1122118631632
103,281.05811102737204,281.0468855249389,281.0625752555794
104,280.98450925375926,280.97339817840515,280.9890667888394
105,280.9317897731591,280.9209000068098,280.93656374265265
106,280.89656266656846,280.88597035236904,280.90163808005804
107,280.8541738217474,280.84395944471,280.859637514528
108,280.8106155542911,280.8008576780578,280.81657391319743
109,280.77074918737264,280.76150007248066,280.7772834615586
110,280.7317045119395,280.7230161558644,280.738892881442
111,280.70008002372793,280.6919878199705,280.7079937028691
112,280.6742114708704,280.666723642185,280.68289400369605
113,280.6373433491223,280.63044552731657,280.6467975245496
114,280.60350971535576,280.59714103894817,280.6137113389547
115,280.59397728040483,280.5880236025839,280.6048483208073
116,280.5665293333146,280.56088224054935,280.5779165116467
117,280.54391524442815,280.5383834694579,280.5556294758999
118,280.50532319608465,280.49982224019607,280.5172585841717
119,280.53544012377836,280.5297915918948,280.5474532335737
120,280.60172820549815,280.59578789832085,280.61366124812014
121,280.69600413613335,280.68963029262034,280.7077156389841
122,280.7865123506796,280.7796225392621,280.79791100490024
123,280.89041651454113,280.8829599974615,280.90146440240187
124,280.9025778097054,280.8946492569396,280.9133015742951
125,280.8711834549527,280.8629065209697,280.8816902463901
126,280.84188473347956,280.83336713675936,280.8522814708814
127,280.7555441016799,280.74694950085825,280.7659252832968
128,280.6258078378472,280.61730480685105,280.6363003932339
129,280.49820983022414,280.48993920419247,280.5089570301215
130,280.43946301604694,280.43145778888294,280.45053369634843
131,280.31332846180277,280.30573711499505,280.3248037134171
132,280.1774786262391,280.17039443135855,280.18948822139413
133,280.03816550684945,280.03167267402074,280.0508195067953
134,279.9019664570872,279.89612011226285,279.9153399043449
135,279.86464991756304,279.85937590402904,279.87875419835177
136,279.8306434907206,279.8258922740386,279.8454273870026
137,279.858497078346,279.85415121933664,279.87390698946973
138,279.88245772730016,279.87843216301724,279.8984230251237
139,279.8946081063636,279.89083307886733,279.911070258633
140,279.9051099497911,279.90151125608554,279.92200899672656
141,279.87763184802844,279.8741719254704,279.89490188027617
142,279.86045436749373,279.85706006365876,279.87802509296114
143,279.9475327269081,279.9440232718827,279.9652759647295
144,280.0887356042844,280.0849468042769,280.10647770184397
145,280.20362079666586,280.19949387358156,280.2212598253218
146,280.347666537911,280.3431549931785,280.36519218140864
147,280.4574120312567,280.45256651926434,280.47485192196507
148,280.5642289802447,280.55911799683383,280.5816493889364
149,280.6412256650762,280.6359628562614,280.658713609019
150,280.61827796544213,280.6130688581865,280.63596841994934
151,280.566980446609,280.56199241483966,280.58504238560516
152,280.4541933494415,280.4496089235507,280.472770537616
153,280.3138023458795,280.309763155279,280.33302109194227
154,280.1965796880851,280.19314335869365,280.21652573169115
155,280.09934168594424,280.09653921600125,280.1200423512961
156,279.9909397365361,279.98880993390384,280.012428381007
157,279.8919076355321,279.8904571078575,279.91424377689293
158,279.7749033804585,279.77414947623333,279.79812549717843
159,279.64594243912074,279.64588689029955,279.6700687177075
160,279.5155031144068,279.5161173565151,279.54052028426537
161,279.3907128682684,279.3919578350859,279.41659336475715
162,279.26413315335833,279.265950605187,279.29080893118953
163,279.168109178773,279.1703937541595,279.19549654793474
164,279.0940157559613,279.0966471791529,279.12198841324005
165,279.05729916182685,279.0601381741833,279.08571827585234
166,279.019831472142,279.02276650830356,279.04855860053374
167,279.1981076634454,279.20081225306245,279.2269649324879
168,279.6388517180596,279.6409056634864,279.66753864008695
169,280.03338695501066,280.03462655949875,280.06163520872786
170,280.36122453529185,280.36160086630247,280.3889877911644
171,280.60662320845626,280.6061879090297,280.63397189138243
172,280.7731551657322,280.7719993581201,280.8001542433624
173,280.86051726875155,280.85883945228386,280.88729983417426
174,280.82576124424276,280.82378732431596,280.85242016940344
175,280.6713216425309,280.6692987738048,280.69799567171077
176,280.44879282649293,280.44693593383073,280.47563183549426
177,280.2498575514897,280.24828805555467,280.27696263610557
178,280.03891243147757,280.03771312407065,280.0663007769265
179,279.8367248110131,279.8359515795659,279.8644373406922
180,279.64875175014186,279.64843842924415,279.6768290176578
181,279.4705138987753,279.47067993988315,279.49898299222406
182,279.2985588807821,279.2992237267605,279.32744524819446
183,279.2166812846264,279.2177806408345,279.24601561129646
184,279.16963427136585,279.17109733184276,279.1993345981689
185,279.0890863513544,279.09087005227667,279.11906002006634
186,278.99948779097485,279.0015248155861,279.02975292623415
187,278.90499950901454,278.90723238538885,278.9355482577479
188,278.80745769735586,278.8098339454579,278.8381830774411
189,278.73192623728966,278.73434223038475,278.76269353744215
190,278.7177079945325,278.7199742487864,278.7483423751723
191,278.76553054183165,278.7674820699693,278.7958903169008
192,278.8839926562949,278.88544940658215,278.9139280675482
193,279.136030769276,279.1367406580319,279.1653704653931
194,279.38950286899615,279.38933192171356,279.4180954882998
195,279.6093804512385,279.60829451016974,279.63718922391865
196,279.6909632858838,279.68910936681937,279.71807759713545
197,279.65672429350064,279.65432904702243,279.6833306905316
198,279.5688354080116,279.56611981066357,279.5951250628217
199,279.42109356234846,279.4182887917541,279.4472221067487
200,279.2924750791404,279.2897294351689,279.3185693774209
201,279.17539741114433,279.1728378722342,279.20155508954144
202,279.0800343509409,279.07774010584586,279.1063376881314
203,278.9985161261563,278.99653427056074,279.02502577447535
204,278.9498087271248,278.9482158134051,278.97665139208704
205,278.9500657115589,278.9488695334172,278.9773109834785
206,278.93882981536115,278.93807347735606,278.9665438652432
207,278.90616319325824,278.9058920706342,278.9344067268423
208,278.86552421623395,278.86576791954,278.89439068842813
209,278.85515256721266,278.8558899035717,278.8846906290266
210,278.8256884615987,278.82689352868715,278.85583455472334
211,278.8357471753219,278.8373108769581,278.86643958355756
212,278.7851630493191,278.78702877218325,278.8163003098388
213,278.7344144386339,278.73651289815706,278.76596048812434
214,278.712019748347,278.7142653607995,278.7439241432978
215,278.78261580605346,278.78486089467594,278.8147388769139
216,278.92628735588073,278.9283645265575,278.9584210067906
217,279.07301546447593,279.07479564961733,279.1049959429148
218,279.1823500619144,279.18373392302175,279.2141172225951
219,279.33084205894687,279.33168931732706,279.3623746511063
220,279.4422394984484,279.44249354987073,279.4733942632057
221,279.53799785287237,279.5376349140285,279.5686870680013
222,279.59902066053223,279.5980944420851,279.6293003879419
223,279.6022254489242,279.60096278315234,279.6322758336297
224,279.5922289079571,279.59081321810515,279.6222087454723
225,279.5577589328104,279.5563608308192,279.5878046252563
226,279.52449840906354,279.5232421374541,279.5547266215532
227,279.4957653678511,279.4947425191005,279.52626890256573
228,279.4487717018007,279.4480740332854,279.47963576151136
229,279.3736183745143,279.3733259291178,279.40491264684584
230,279.296937369144,279.29712061756226,279.3287769306066
231,279.1980993150765,279.19881005276,279.2305307997573
232,279.0885510999486,279.0898098161678,279.1215991368926
