% Model,case4_base_model_solved_Q_1.3.mph
% Version,COMSOL 6.0.0.405
% Date,"May 2 2024, 18:54"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
0,284.52166982329703,284.4839788623615,284.4872195644485
1,283.5468934035107,283.51069275668794,283.51377561437226
2,283.2923726636525,283.25643369096974,283.2613645052857
3,283.1740609274572,283.1383984471867,283.14344722486624
4,283.1433711538198,283.10830567503035,283.11255547093174
5,283.15865274161825,283.12373621509073,283.1276271833744
6,283.2024829555563,283.16748858081365,283.1713217891337
7,283.26729153537275,283.232190282479,283.2360457734595
8,283.11550415695785,283.0805644518074,283.0842907842341
9,283.03639063849374,283.00171012259074,283.0054139181648
10,282.983906159865,282.94956838642776,282.95324658257755
11,282.9317847414832,282.89786371321236,282.9014693706
12,282.89355253728706,282.8601345165545,282.86367258870206
13,282.8569115844559,282.8240683465781,282.827558949834
14,282.81952955645755,282.78732572948894,282.79078738535975
15,282.76548358331905,282.7339762400317,282.73740833395374
16,282.71368808349223,282.68291495453167,282.6863488656841
17,282.6559999971592,282.6259698207727,282.6294186973166
18,282.59612575864065,282.5668016025827,282.57027151161805
19,282.5495682255631,282.5208658343407,282.5243735687781
20,282.4975373935831,282.4693645863726,282.47290668581957
21,282.4400305715056,282.4122923307359,282.4158668669954
22,282.40832873949137,282.38090948836634,282.384536477551
23,282.45032759693623,282.42307342785904,282.4267956307552
24,282.54998647306616,282.52276002798885,282.52659604210214
25,282.64347923216906,282.6162290441329,282.6201635397352
26,282.7552105133412,282.72791389198903,282.7319767111328
27,282.89872881108863,282.87137967988843,282.87560435929123
28,282.9914582138967,282.964147140511,282.96849342818166
29,283.02526604032954,282.9981290910287,283.0025715800935
30,283.0050350411373,282.97822530709925,282.98274708563645
31,282.91580466999517,282.8894961782627,282.89405648578816
32,282.8288680219699,282.80316511585175,282.8077704767065
33,282.774958265604,282.7498993361964,282.75456254472357
34,282.75043942063917,282.7260353161827,282.73076378379545
35,282.67894311434907,282.65525173482473,282.6599974213933
36,282.5621619887523,282.5392875376329,282.54410341055274
37,282.45060792699655,282.4286157835988,282.433541404997
38,282.31679494999514,282.2957481561867,282.30078564107396
39,282.1429266469755,282.12288385237497,282.12803019763334
40,281.9631856539468,281.9441502226782,281.94943546083516
41,281.78635666557454,281.76828274815875,281.77372730026946
42,281.6272008251209,281.6099895296682,281.6156100753236
43,281.5272374361768,281.51071170528394,281.5165475729651
44,281.4209507443788,281.40499440738773,281.4110242039032
45,281.2856635482564,281.27016478223203,281.27636297319515
46,281.1725434326745,281.1572919088257,281.1637188115987
47,281.3347144297462,281.31929124999925,281.3261173978192
48,281.6131217351886,281.59719073296975,281.60440757531194
49,281.90519144683356,281.8885731865011,281.8961619362635
50,282.1911118136097,282.17374557418066,282.18175084271115
51,282.42825427966466,282.410209679598,282.41864237249604
52,282.60625061862055,282.58767800809284,282.59651769694864
53,282.70406209627777,282.68517097214504,282.6943637182086
54,282.6996056292922,282.6806490871165,282.69011874529474
55,282.56491363344117,282.5461854734169,282.5558368647273
56,282.35467047330656,282.33641938192125,282.3461989907001
57,282.13697978763844,282.1193451302925,282.1292458295017
58,281.9772458178453,281.96027036288194,281.970300263862
59,281.7984117487506,281.78213840651586,281.79219308644895
60,281.58346639531175,281.56794479591537,281.578026175837
61,281.39054443520473,281.3757808801628,281.3859467469943
62,281.25982631346193,281.24576897783214,281.2560719320902
63,281.1152355859662,281.10187145369775,281.1122903322965
64,280.8888788330109,280.8762648254315,280.8867581208396
65,280.70957875339496,280.69766596240095,280.7083075962124
66,280.5955594690989,280.58425718702586,280.5951106871651
67,280.5865818080235,280.57567560620834,280.58673639060635
68,280.50324868216006,280.4926758111424,280.50388410215805
69,280.4698057388901,280.4594436685812,280.47087500971804
70,280.4908900621356,280.48060376414986,280.49229937578053
71,280.64847537319554,280.6380473485542,280.6500743840694
72,280.9850328498307,280.97417445615037,280.98661574762843
73,281.3348591413072,281.32343032320347,281.33625515963183
74,281.62351296881917,281.6115166775999,281.6247045366469
75,281.8237262675861,281.8112682093013,281.82480915288005
76,281.9100426805788,281.8972768042466,281.91111130586074
